question,answer_agent,answer_orig,tool_calls,cost,document
When is the llm-zoomcamp going to be offered again?,"The FAQ doesn’t list a specific next start date for the next **llm-zoomcamp** offering.

What it does say is that the **current cohort materials and deadlines** are on the course management platform:
- https://courses.datatalks.club/llm-zoomcamp-2026/

Also, the course materials are available and **you can start whenever you want**; the deadlines are what matter once the form is open.

If you want, I can also help you find the latest cohort page or course announcement source.",Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""llm-zoomcamp offered again when next cohort date""}'}]",0.0014715,bd31146b0e
Do you know the next time this course will run?,The FAQ says the course will be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next course run schedule when will this course run again upcoming dates""}'}]",0.00110325,bd31146b0e
What’s the upcoming offering for this course?,"I found a course FAQ that says you can **start whenever you want**, and the **deadlines are listed in the course management platform**. For the current run, the platform is:

- **LLM Zoomcamp 2026:** https://courses.datatalks.club/llm-zoomcamp-2026/

If you meant the **next live cohort/offering**, the FAQ I found doesn’t list a future date directly.",Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""upcoming offering course""}'}]",0.00157125,bd31146b0e
When should I expect the next course session to start?,"You can start whenever you want — the course materials are available now, and the deadlines are listed on the course platform.

If you mean the live cohort/session, the FAQ doesn’t give a specific next session start date here. If you want, I can help you find the course logistics page or the course platform info.",Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next course session start time schedule upcoming session""}'}]",0.00117675,bd31146b0e
"Is there a planned next run of the course, and when is it?",Yes — the FAQ says the course will be offered next in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""planned next run of the course when is it next run scheduled""}'}]",0.0013290,bd31146b0e
Where can I find the course videos or lectures?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:

- GitHub repo: https://github.com/DataTalksClub/llm-zoomcamp
- Open the relevant **lesson folders** there
- Each lesson page has the **videos linked at the top**

If you’re unsure, it’s best to start from the GitHub repo rather than the YouTube playlist, since the repo is easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""course videos lectures where can I find videos lectures""}'}]",0.0013455,31456f4b5f
Is there a central place I should start from for the lessons and videos?,"Yes — the **LLM Zoomcamp GitHub repository** is the main entry point for the lessons and videos.

- Start here: https://github.com/DataTalksClub/llm-zoomcamp
- Open the relevant **lesson folders** in the repo; each lesson page has the **video links at the top**.
- If you’re unsure where to begin, follow the **GitHub repo first**, since it’s kept more up to date than the YouTube playlist.

You can also use the docs:
- https://datatalks.club/docs/courses/llm-zoomcamp/
- https://datatalks.club/docs/courses/zoomcamp-logistics/

A typical flow is:
1. Watch the lesson videos
2. Work through the notebooks/code
3. Read the homework instructions on GitHub
4. Submit on the course platform before the deadline

","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""central place start lessons videos""}'}]",0.001845,31456f4b5f
How do I get to the videos for each lesson in the course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:

- Open the **lesson folders** in the repo.
- Each lesson page has the **relevant videos linked at the top**.
- If you're unsure, follow the **GitHub repo first**, since it’s easier to keep updated than the YouTube playlist.

Repository: https://github.com/DataTalksClub/llm-zoomcamp","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""videos for each lesson in the course how do I get to the videos lesson videos""}'}]",0.00135075,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course?,"Use the **GitHub repo as the main entry point**. It’s the better source to follow because it’s easier to keep updated than the YouTube playlist.

Typical workflow:
1. Open the lesson folders in the GitHub repo
2. Watch the videos linked at the top of each lesson page
3. Follow the notebooks/code and homework instructions there

So: **GitHub first, YouTube for the videos linked from each lesson**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""GitHub repo YouTube playlist follow the course which to use""}'}]",0.0014265,31456f4b5f
Where are the lecture links listed for every lesson page?,"The lecture links are listed at the top of each lesson page in the **LLM Zoomcamp GitHub repository**.

Start here: https://github.com/DataTalksClub/llm-zoomcamp

Open the relevant lesson folder, and you’ll see the videos linked at the top of that lesson page. If in doubt, use the GitHub repo as the main entry point since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{'name': 'search', 'arguments': '{""query"":""lecture links listed for every lesson page where are they""}'}]",0.00138225,31456f4b5f
