question,document
Can Kestra's AI Copilot make a flow from a plain English prompt and then let me refine it after?,bfe5502c30
"What are external agent skills in Kestra, and can tools like Claude Code or Codex send flows directly without using the UI?",bfe5502c30
"Why do ChatGPT or other generic AI tools sometimes make up Kestra YAML fields that aren't actually valid, and what's the best way to check them?",93a3e8b98c
"When I ask an AI to write a Kestra flow, why does it sometimes use properties like `bucket` or `name` instead of the real plugin arguments?",93a3e8b98c
How can I keep an AI-generated Kestra flow from using wrong plugin fields that don't match my Kestra version?,93a3e8b98c
What should I compare against the generated YAML so I don't trust fake Kestra properties from an LLM?,93a3e8b98c
"Is Kestra Copilot safer than a regular chatbot for writing plugin YAML, and how do I verify the result?",93a3e8b98c
Why do people track token usage in Kestra workflows when calling LLMs?,a4adc70f41
How does watching tokens help control costs in a scheduled or looping AI flow?,a4adc70f41
What can token counts tell you about prompt length and output size?,a4adc70f41
How do you stop a Kestra LLM workflow from accidentally running up a big bill?,a4adc70f41
"Where does Kestra get token usage from in an AI task response, and what do you do with it?",a4adc70f41
How can I get rid of the Docker Desktop error that says a path under /tmp isn’t shared from the host?,dd8b4c9fda
"When Kestra starts, Docker complains about /tmp/kestra-wd not being allowed — where do I add that folder in Docker Desktop?",dd8b4c9fda
"What should I change in Docker Desktop if I see ""mounts denied"" for a temp directory while running docker compose?",dd8b4c9fda
Is there a way to fix the file sharing issue in Docker Desktop so it can mount /tmp for my container?,dd8b4c9fda
"After Docker says the host path isn’t shared, what settings do I need to update before running docker compose up -d again?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly am I supposed to upload in the public repo if almost everything was done in the Kestra UI?",f29f622684
"Do I need to include the flow YAML files from Kestra, or is a README with my answers enough for the homework submission?",f29f622684
"If I changed any scripts that my Kestra flows call, should those go into the repo too, or only the flow definitions?",f29f622684
"Where should I place the Kestra homework files in the repo, and does the repo need to be public before I submit the link?",f29f622684
"Are the answers to Q1, Q2, and the rest supposed to be inside the repo, or do I enter them separately in the homework form?",f29f622684
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output with `json.loads()`?,a3c7e1b4f9
How do I make the model return only valid JSON instead of a code block or extra text?,a3c7e1b4f9
What should I set in the API call if I want the response to come back as a JSON object?,a3c7e1b4f9
What exact prompt wording helps make the LLM output a `questions` list with 5 strings and nothing else?,a3c7e1b4f9
"Does this JSON-only output trick work only with OpenAI, or do other providers have something similar too?",a3c7e1b4f9
Why does my Jupyter notebook keep crashing when I try to embed the whole ground-truth set in the evaluation task?,b8f2d6a30c
What can I do if Codespaces runs out of memory while loading the embedding model and processing the notebook?,b8f2d6a30c
Is there a smaller embedding model I can use for the eval step without changing too much of the code?,b8f2d6a30c
How do I avoid memory issues by moving the embedding part out of Jupyter and into a separate script?,b8f2d6a30c
Can I fix the kernel crash by batching the ground-truth embeddings or by using a Codespaces machine with more RAM?,b8f2d6a30c
"I'm hitting Gemini rate limits while building the ground-truth data. I added a sleep between requests, but it still fails after a while. What am I missing?",c1e9f4b820
What should I do if the free Gemini quota gets exhausted when generating the evaluation dataset?,c1e9f4b820
"Is it a good idea to use a smaller thread pool when calling the API in parallel, or will that not help with the limit issue?",c1e9f4b820
"If I don't want to wait for Gemini limits, what cheaper or free alternatives can I use for generating the ground-truth set?",c1e9f4b820
How can I avoid losing all my progress when my dataset generation job gets rate-limited halfway through?,c1e9f4b820
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
Is installing the Visual C++ Redistributable enough to solve the torch fbgemm.dll module not found issue?,15e931476c
Do I need Visual Studio or just Visual Studio Code to get rid of the PyTorch fbgemm.dll error on Windows?,15e931476c
What should I do if Python says it can't load fbgemm.dll or one of its dependencies in torch?,15e931476c
"Is there a known Windows fix for the ""specified module could not be found"" error from torch in Python 3.10?",15e931476c
"Why do I get `psycopg2.OperationalError: could not translate host name ""postgres"" to address` when I run `python prep.py`?",4b65d5542d
How can I fix the `No such host is known` error in the monitoring setup for Module 5?,4b65d5542d
What should I change in my `.env` file if PostgreSQL host `postgres` is not being resolved?,4b65d5542d
"When `python prep.py` fails because it can’t find the database host, what’s the correct `POSTGRES_HOST` value?",4b65d5542d
Is there a config change needed to make `prep.py` connect properly instead of using `postgres`?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off with ...?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the whole Explanation column output from the judge LLM?",641aedbbf5
"What Pandas setting controls column text truncation, and what should I set it to if I want unlimited width?",641aedbbf5
"Why does Pandas only show about 50 characters in a text column, and how can I change that?",641aedbbf5
Is there a quick way to display the complete content of a long string column in Pandas?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s a simple way to normalize each vector in a Pandas Series?,5039707c1a
How do I create a new column with normalized vector values in Pandas?,5039707c1a
Is there an easy one-liner to divide each vector by its norm in a DataFrame column?,5039707c1a
Can I use apply() with NumPy to normalize vectors in a Pandas column?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find a percentile value from one column in a DataFrame using Pandas?,b4c8ac5a0c
Is there a simple function in Pandas to compute quantiles for a column?,b4c8ac5a0c
How do I calculate the 75% percentile from df['col'] in Pandas?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What's the command to force-remove all Docker images at once?,66ccbb7da0
How can I wipe out all Docker volumes using a terminal command?,66ccbb7da0
"Is there a quick way to clean up every container, image, and volume in Docker from the command line?",66ccbb7da0
What commands should I run if I want to remove all Docker stuff on my machine?,66ccbb7da0
How can I make sure a user can only send feedback once per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` get set back to `True` even after I click a feedback button?,2e729f1271
How do I disable the feedback buttons when the ask button hasn't been used yet?,2e729f1271
What's the fix for the session state issue where the submitted flag keeps changing in Streamlit?,2e729f1271
Is there a known solution for Streamlit session attributes being reassigned unexpectedly after feedback is pressed?,2e729f1271
"Why does my Streamlit app fail in docker-compose with ""executable file not found in $PATH"" even though it works locally?",e8df9f0d12
What should I check first if Docker says it can’t start Streamlit inside the container?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app that I run with docker-compose?,e8df9f0d12
"Should Streamlit be added in docker-compose, or is the Dockerfile enough for running the app?",e8df9f0d12
"After changing the Docker setup for Streamlit, what command do I use to rebuild and launch everything again?",e8df9f0d12
"Is the capstone supposed to be done alone, or can it be a team project?",0fab61eca2
Can I talk through ideas or collaborate with other students if each of us submits separately?,0fab61eca2
"If we build one shared system, is that still allowed for the capstone?",0fab61eca2
What happens if multiple people work on the same project but submit different parts?,0fab61eca2
Does each person need their own repo and an independently evaluable part for the capstone?,0fab61eca2
"Do we need to turn in two capstone projects, or is it just one project with a second submission window if the first one doesn’t pass?",d5fc98925d
"What exactly do attempt #1 and attempt #2 mean for the capstone submission, and what happens if the first try fails?",d5fc98925d
"If I miss the first capstone deadline, can I still submit later in attempt #2 and stay on track?",d5fc98925d
"Can I submit two different capstone projects just for practice, and do they need to be on different datasets and problems?",d5fc98925d
Does the capstone submission count for certification if I don’t do the peer review of three classmates?,d5fc98925d
"Can I use the competition as my capstone project, or are they separate?",e892d44e42
"If I join the math-kaggle-llm-competition with a team, does that count toward capstone requirements?",e892d44e42
"Is the capstone in this course supposed to be done alone, even if I compete in the event with others?",e892d44e42
Can we form teams for the competition and still do the capstone individually?,e892d44e42
"Does taking part in the competition replace the capstone, or do I still need to submit an individual project?",e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
Who reviews the project after I submit it?,9a2e2d2008
Do I also have to review other students' capstone projects?,9a2e2d2008
What happens if I don't grade the required number of peer projects?,9a2e2d2008
Is the final score based on all the reviewer grades or something else?,9a2e2d2008
When do we get assigned the projects we need to review or grade?,eae0fb50aa
How will the project review assignments be given out after the deadline?,eae0fb50aa
Will we receive a list or spreadsheet with the projects we're supposed to grade?,eae0fb50aa
How many projects does each participant have to review once assignments are sent?,eae0fb50aa
What happens after the submission deadline in terms of project grading assignments?,eae0fb50aa
"I already turned in my capstone project, so why don’t I see anything to review yet?",a8a7fef016
When do project reviews actually start after the submission deadline ends?,a8a7fef016
"Can I pick which capstone projects I want to evaluate, or are they assigned somehow?",a8a7fef016
Is there a way to review other students’ projects before the review list is released?,a8a7fef016
"I submitted my project already, but the review page is empty — is that normal?",a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a page with some dataset suggestions for the project?,e76a70cde3
Do you have a link with ideas and tips for the capstone project?,e76a70cde3
I'm looking for possible topics and data sources — where should I check?,e76a70cde3
Which GitHub page should I use to find project inspiration and guidelines?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion and indexing part in plain Python, will that still give me full points for the ingestion pipeline?",d4f7c08ea1
What happens if I do the same ingestion steps in a Jupyter notebook instead of a script for the capstone?,d4f7c08ea1
"Should I only use an orchestrator when my project really needs scheduled or recurring ingestion, like a daily-updated feed?",d4f7c08ea1
Is it a bad idea to add an orchestration tool just to get credit for the capstone criteria?,d4f7c08ea1
How can I evaluate a recommender-style RAG project when there isn’t a clear ground-truth answer?,9b0e2d6a47
What’s a good way to create synthetic test queries for a retrieval system so I can measure hit rate or MRR?,9b0e2d6a47
"For ranking-style RAG, why would I use NDCG instead of just hit rate?",9b0e2d6a47
How do I use an LLM as a judge to score the usefulness of RAG outputs?,9b0e2d6a47
"If several items could be acceptable, what metric should I pick to rank my retrieval results better?",9b0e2d6a47
What chunking approach should I start with for a really large corpus of long PDFs and lots of paragraphs?,6f2a8b3d10
Is it worth trying an LLM to split documents into sections instead of using fixed-size chunks?,6f2a8b3d10
"Should I add summaries to chunks, and if so, how would that help retrieval?",6f2a8b3d10
"For legal or financial docs, is hybrid search better than only dense embeddings?",6f2a8b3d10
What tools can I use to turn PDFs into cleaner markdown before chunking them?,6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
How should I set up my repo so someone can rebuild the search index from scratch?,e5d8a2c761
Should I commit my real .env file or just some example file for the project?,e5d8a2c761
What model should I use in the capstone so reviewers don't waste a lot of credits?,e5d8a2c761
Do I need to pin package versions and mention the Python or Docker version somewhere?,e5d8a2c761
"Can I do the homework in a language other than Python, like JavaScript or Go, or is Python required?",ea815eb858
"Is it okay to build the capstone project with Rust, Java, C#, or another stack instead of Python?",ea815eb858
"If I choose a non-Python language for the project, what should I put in the README so the reviewer can run it?",ea815eb858
"Do I need to explain installation and run steps for Windows, macOS, and Linux if I use another programming language?",ea815eb858
What does the course expect for reproducibility and review if I don’t use Python?,ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with old LLM Zoomcamp project submissions I can browse?,930286278d
Can you share links to previous LLM Zoomcamp projects from 2024 and 2025?,930286278d
How can I check what kind of capstone project scope is expected by looking at earlier submissions?,930286278d
Where are the repositories for LLM Zoomcamp projects from earlier years?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
Is there any rule that I have to announce my project topic first?,897a350476
"Can I pick a project similar to one that someone else already did, or does it need to be totally unique?",897a350476
"If I’m not sure about my capstone idea, where can I ask for feedback?",897a350476
"Is it okay to use an idea that looks like a previous project, as long as I build it myself?",897a350476
Can I make my capstone available through Telegram or WhatsApp instead of building a web app?,7318a90b14
"Is a CLI, notebook, or Slack app acceptable as the user interface for the project?",7318a90b14
Are there any strict rules about how the end user should access the capstone project?,7318a90b14
"If I choose a bot or other custom interface, will the course show me how to build it?",7318a90b14
What matters most for the project review: the interface type or meeting the evaluation criteria?,7318a90b14
What tool should I use to pull text out of PDFs for my RAG app?,d8b28c47a0
"For scanned PDFs with no text layer, what OCR option do you recommend?",d8b28c47a0
"Is there a course-approved library for extracting text from documents, or can I pick whatever works best?",d8b28c47a0
What’s the easiest way to get clean Markdown or JSON from PDF files for RAG?,d8b28c47a0
Which library should I try first if I want to test a few document extraction tools on my files?,d8b28c47a0
"Can I use the workshop content in my own capstone project, or is it only for the workshop exercises?",d850a0e7ea
"Since dlt is open-source, am I allowed to reuse these materials in other projects too?",d850a0e7ea
"Would it be okay to use this workshop stuff for a different Zoomcamp project, like the MLOps one?",d850a0e7ea
Can I share the workshop materials with other people or include them in my own work?,d850a0e7ea
"Is there any restriction on using dlt from this workshop in real projects, or can I just use it directly?",d850a0e7ea
How do I initialize a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to start a fresh dlt setup with filesystem and DuckDB?,6bceeebf04
I'm trying to load from cloud data with dlt — what's the first CLI command?,6bceeebf04
How can I create a new dlt project before ingesting files from a cloud source?,6bceeebf04
Where do I begin if I want to use dlt with filesystem input and DuckDB output?,6bceeebf04
Why do I get `Table notion_pages___homework does not exist` when I try to open it in dlt?,0407213397
"I changed the table name in one place, but I still see a `FileNotFoundError` for `notion_pages___homework` — what am I missing?",0407213397
"How can I fix the issue where `db.open_table(""notion_pages___homework"")` says the table doesn't exist?",0407213397
What causes this table-not-found error in the dlt Notion pipeline after renaming things to homework?,0407213397
Do I need to update more than one `employee_handbook` reference when switching the pipeline to `homework`?,0407213397
Why do I get FileNotFoundError saying table notion_pages___homework does not exist when I run main()?,e95bfafc0e
What should I put on line 3 if open_table is failing for notion_pages___homework?,e95bfafc0e
How do I fix the error where db says I need to call create_table for notion_pages___homework first?,e95bfafc0e
Is the problem in the table name when I open the Notion homework table?,e95bfafc0e
What is the correct way to open the homework table in the dlt workshop code?,e95bfafc0e
How can I see the names of all tables in the database?,e394e6f738
Is there a way to list every table in the db with dlt?,e394e6f738
What method should I call if I want to check which tables exist?,e394e6f738
How do I print out all table names from the database?,e394e6f738
How can I find out what tables were created in the db?,e394e6f738
Does dlt already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks today?,cd19f122f3
Are there built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn't have ClickHouse or StarRocks connectors yet, can the community add them?",cd19f122f3
Is there any official support for ClickHouse or StarRocks in dlt right now?,cd19f122f3
Why does my notebook keep failing with 401 Unauthorized when it calls the Notion search API?,0dfba07ace
How can I fix the “notebook does not have secret access” error in the dlt Notion ingestion workshop?,0dfba07ace
What should I check if I’m getting an authorization error from api.notion.com/v1/search in the notebook?,0dfba07ace
"Could this Notion API 401 error be caused by a bad or expired token, and how do I verify it?",0dfba07ace
What are the usual things to double-check when the notebook can’t access Notion because of permissions or auth issues?,0dfba07ace
How do I get the newer requests version that lancedb wants instead of the old 2.28 one?,4b30b918bc
What pip command should I use to install requests from GitHub so I get v2.32.3?,4b30b918bc
"Why am I seeing a 401 Client Error when setting this up, and does it mean my key is wrong?",4b30b918bc
Is there a way to force-install requests directly from the source archive for this workshop?,4b30b918bc
How can I fix the requests version issue when pip keeps pulling an older release?,4b30b918bc
